SR. NO.,CLIENT NAME,LIST OF COMPANY,LOCATION,SOURCE COMPANY,Sourcelocation,,LIST OF COMPANY
14,NORDISK,OCEAN PEARL GENERAL TRADING LLC,"Dubai, United Arab Emirates",EVER GREEN MAKINA SANAYI IC VE DIS TICARET LIMITED SIRKETI,"Antalya, Turkey",,OCEAN PEARL GENERAL TRADING LLC
14,NORDISK,MATOOL INTERNATIONAL FZE,"Sharjah, United Arab Emirates",LLTECH CO. LTD,"Taipei, Taiwan",,MATOOL INTERNATIONAL FZE
14,NORDISK,UNIVERSE INTERNATIONAL TRADING (FZE),"Sharjah, United Arab Emirates",LAND H MACHTECH CO. LTD,"Taichung City, Taiwan",,UNIVERSE INTERNATIONAL TRADING (FZE)
14,NORDISK,SNOW LINE GENERAL TRADING LLC,"Dubai, United Arab Emirates",WHENZHOU CHANGS INTERNATIONAL,"Whenzhou, China",,SNOW LINE GENERAL TRADING LLC
14,NORDISK,MAGIC BRICKS BUILDING MATERIALS TRADING LLC,"Dubai, United Arab Emirates",COLORGRES BUILDING MATERIAL CO LTD,"Foshan City, China",,MAGIC BRICKS BUILDING MATERIALS TRADING LLC
14,NORDISK, CANARA FOODSTUFF TRADING CO LLC,"Dubai, United Arab Emirates",GUANGZHOU KANGYING FOOD CO LTD,"Guangzhou, China",, CANARA FOODSTUFF TRADING CO LLC
15,RADIN ,RADIN GENERAL TRADING,"Dubai, United Arab Emirates",FLUXTEX INTERNATIONAL CORP,"Pingtung City,Taiwan",,RADIN GENERAL TRADING
15,RADIN ,MARDIN GENERAL TRADING,"Dubai, United Arab Emirates",VALTORQUE VALVES KFT,"Budapest, Hungary",,MARDIN GENERAL TRADING
15,RADIN ,PHY ELECTRONICS TRADING,"Dubai, United Arab Emirates",HAKUTO CO. LTD,"Tokyo, Japan",,PHY ELECTRONICS TRADING
16,BORSA,BORSA GENERAL TRADING LLC,"Dubai, United Arab Emirates",UAB NADY,Frankfurt Germany,,BORSA GENERAL TRADING LLC
16,BORSA,MODESTO BUILDING MATERIALS TRADING LLC,"Dubai, United Arab Emirates",CEMBRIT HOLDING AS,"Aalborg, Denmark",,MODESTO BUILDING MATERIALS TRADING LLC
16,BORSA,ORTA ASIA GENERAL TRADING FZE,"Ras Al Khaimah, United Arab Emirates",ANADOLU EFES BIRACILIK VE MALT SANAYII AS,"Istanbul, Turkey",,ORTA ASIA GENERAL TRADING FZE
16,BORSA,GREENWOOD GENERAL TRADING FZE ,"Fujairah, United Arab Emirates","MASTER MACHINERY SUPPLYING SDN BHD
","Selangor, Malaysia",,GREENWOOD GENERAL TRADING FZE 
17,ALIZADEH,ABAN INTERNATIONAL GENERAL TRADING LLC,"Dubai, United Arab Emirates",LEMAR INTERNATIONAL SDN BHD,"Klang, Malaysia",,ABAN INTERNATIONAL GENERAL TRADING LLC
17,ALIZADEH,NORTH GULF INTERNATIONAL GENERAL TRADING LLC,"Dubai, United Arab Emirates",SEYOUNG GENERAL TRADING CO. LTD,"Seoul, South Korea",,NORTH GULF INTERNATIONAL GENERAL TRADING LLC
17,ALIZADEH,GULF EURO INTERNATIONAL,"Dubai, United Arab Emirates",DISTINGUISHED WAREHOUSES GULF CO. LLC,"Muscat, Sultanate Of Oman",,GULF EURO INTERNATIONAL
17,ALIZADEH,SUPER VISION TRADING CO LLC,"Dubai, United Arab Emirates",KREMPEL GMBH,"Vaihingen An Der Enz, Germany",,SUPER VISION TRADING CO LLC
17,ALIZADEH,JYANE BAU UND GEN UNTERNEHMUNG LLC,"Dubai, United Arab Emirates",SAMSON INTERNATIONAL ENTERPRISES LIMITED,"Taichung, Taiwan",,JYANE BAU UND GEN UNTERNEHMUNG LLC
17,ALIZADEH,BLUE STAR GULF ELECTRONICS TRADING LLC,"Dubai, United Arab Emirates",CASTLES TECHNOLOGY CO. LTD,"New Taipei, Taiwan",,BLUE STAR GULF ELECTRONICS TRADING LLC
