SR. NO.,CLIENT NAME,LIST OF COMPANY,LOCATION,SOURCE COMPANY,
,,7. BLUE LAND FZE,"Sharjah, United Arab Emirates","BINA TRADING INDONESIA - JAKARTA, INDONESIA",
,,8. NORTH GULF FZE,"Sharjah, United Arab Emirates","PEGASOS PETROCHEMICAL GAS AND OIL SUPPLIES E.K. - HAMBURG, GERMANY",
,,9. SUPER POWER GENERAL TRADING,"Ajman, United Arab Emirates","SMERWICK LTD. - TAIPEI, TAIWAN",
,,10. JYANE BAU UND GEN UNTERNEHMUNG FZE,"Ajman, United Arab Emirates","QARSHI EXPORT IMPORT BIZNEZ LLC - Kashkadarya Region, Uzbekistan",
,,11. BLUE GULF FZE,"Sharjah, United Arab Emirates","WINTEK SEALING INDUSTRIAL CO. LTD - NANTOU COUNTY, TAIWAN",
,,12. TRADE GULF FZE,"Sharjah, United Arab Emirates","CZECH TRADE PROMOTION AGENCY - PRAGUE 2, CZECH REPUBLIC",
,,13. IBS INTERNATIONAL GENERAL TRADING LLC,"Dubai, United Arab Emirates","SAI INTERNATIONAL TRADING COMPANY - KERALA, INDIA",
,,14. GOLDEN CORAL LLC,"Sharjah, United Arab Emirates","ERUDITE GENERAL TRADING SND BHD - JALAN JAYA NEGARA, BRUNEI DARUSSALAM",
,,15. SOLAR INTERNATIONAL FZE >>>  (NO LETTERHEAD),"Ras Al Khaimah, United Arab Emirates","SHANGHAI MINMETALS DEVELOPMENT LTD - SHANGHAI, CHINA",
,,16. SOUTH GULF FZE,"Sharjah, United Arab Emirates","SEWANG CORPORATION CO. LTD - NAJU, SOUTH KOREA",
,,17. AL NAJM AL FAREED GENERAL TRADING LLC,,,
,,18. VISION TRADING INTERNATIONAL FZE,"Dubai, United Arab Emirates","SHANGHAI TOHAN INTERNATIONAL TRADING CO., LTD - SHANGHAI, CHINA",
,,19. JYAN BAU GENERAL FZE,"Sharjah, United Arab Emirates",,
,,20. JYANE BAU GEN UNTERNEHMUNG FZE,"Sharjah, United Arab Emirates",,
18.00,ANACO,1. ANACO GENERAL TRADING LLC,"Dubai, United Arab Emirates","SZ KETA TECHNOLOGY CO LTD - GUANDONG, CHINA",
,,2.   4 G TELECOM MOBILES PHONES TRADING,,,
19.00,EHSAN,1. EHSAN HADIAN GENERAL TRADING LLC,"Dubai, United Arab Emirates",,
20.00,BAVI,1. BAVI GENERAL TRADING CO (LLC),"Dubai, United Arab Emirates","GANSU HUAJUN BUILDING MATERIAL CO LTD - Gansu, China",
,,2. B S R GENERAL TRADING LLC,"Dubai, United Arab Emirates",,
,,3. NAM GENERAL TRADING LLC,"Dubai, United Arab Emirates",,
21.00,HELENA,1. HELENA ELECTRONICS TRADING LLC,"Dubai, United Arab Emirates","SEDIOS INTERNATIONAL TRADING - TOKYO, JAPAN",
,,2. TOP PLATFORM GENERAL TRADING LLC,"Dubai, United Arab Emirates",YUQUAN IMPORT & EXPORT CO LIMITED - HONGKONG CHINA,
22.00,ARMAN J,1. ARMAN J GENERAL TRADING LLC,"Dubai, United Arab Emirates","BOSUNG ENGINEERING & MANUFACTURING, Chungcheongbuk-do, Korea",
23.00,FADAEI,2. FADAEI GENERAL TRADING LLC,"Dubai, United Arab Emirates","GUAGZHOU F.G.T INTERNATIONAL TRADING CO., LTD - GUANGZHOU, CHINA",
24.00,BAHMANI,1. BAHMANI GENERAL TRADING CO LLC,"Dubai, United Arab Emirates","HONGKONG JINJIANG TRADE CO LIMITED - HONGKONG, CHINA",
,,1. BAHMANI GROUP,"Dubai, United Arab Emirates","HONGKONG JINJIANG TRADE CO LIMITED - HONGKONG, CHINA",
,,1. BAHMANI MANUFACTURING AND INDUSTRIAL TECH CO LLC,"Dubai, United Arab Emirates","HONGKONG JINJIANG TRADE CO LIMITED - HONGKONG, CHINA",
,,2. MASTER CITY GENERAL TRADING LLC,"Dubai, United Arab Emirates","BAKDA INDUSTRY CO. LTD - HONGKONG, CHINA",
,,3. SMART BUILDING MATERIALS TRADING LLC,"Ras Al Khaimah, United Arab Emirates","KANA INDUSTRY CO LTD - HONGKONG, CHINA",
,,4. SYSNY POWER GENERATION EQUIPMENT TRADING LLC,"Dubai, United Arab Emirates","SUNSHOW MACHINERY AND ELECTRICAL CO LTD - HONGKONG, CHINA",
,,5. LANTERN GENERAL TRADING LLC,"Dubai, United Arab Emirates","HELI MACHINERY TRADING CO LTD - HONGKONG, CHINA",
,,6. REBECCA GENERAL TRADING ,"Dubai, United Arab Emirates",,
,,7. BEST DAY GENERAL TRADING LLC,"Dubai, United Arab Emirates","ZEIJIANG WANJI INDUSTRY & TRADE CO., LTD - ZHEIJIANG, CHINA",
,,8. GLAD GENERAL TRADING FZE,"Sharjah, United Arab Emirates","SUNSHOW MACHINERY AND ELECTRICAL CO LTD - HONGKONG, CHINA",
,,9. WELCOME GENERAL TRADING FZE,"Sharjah, United Arab Emirates","SUNSHOW MACHINERY AND ELECTRICAL CO LTD - HONGKONG, CHINA",
,,10. HOPE GENERAL TRADING FZE,"Sharjah, United Arab Emirates","HK SIHAI YINGTONG INDUSTRY CO LIMITED - HONKONG, CHINA",
,,11. MOON POWER GENERAL TRADING LLC,"Sharjah, United Arab Emirates","SUNSHOW INDUSTRY LIMITED - HONGKONG, CHINA",
